city_searched,check_in_searched,check_out_searched,room_config_searched,name,address,hotel_coordinates,hotel_score,hotel_scores,hotel_description,features,room_data,count,current_page,in_page_count,search_date
Valencia,"27
Friday, January 27, 2023","5
Sunday, February 5, 2023",2 adults · 0 children · 2 rooms,Macflats Ayuntamiento,"Carrer del Convent de Sant Francesc 3, Ciutat Vella, 46002 Valencia, Spain","39.46914959,-0.37757054",9.1,"{'': '', 'Staff': '9.4', 'Facilities': '9.1', 'Cleanliness': '9.3', 'Comfort': '9.2', 'Value for money': '8.9', 'Location': '9.8', 'Free WiFi': '9.6'}","[""You're eligible for a Genius discount at Macflats Ayuntamiento! To save at this property, all you have to do is sign in."", 'Located in Valencia, near Central Market of Valencia, Basilica de la Virgen de los Desamparados and González Martí National Museum of Ceramics and Decorative Arts, Macflats Ayuntamiento features free WiFi.', 'All units are air-conditioned and some of them include a seating area with a flat-screen TV, and a fully equipped kitchenette with a dining area. A microwave, a fridge and oven are also provided, as well as a kettle and a coffee machine.', 'Church of Saint Nicolás is 1.7 km from the apartment, while Turia Gardens is 2.3 km away. The nearest airport is Valencia, 10 km from Macflats Ayuntamiento.']","['Apartments', 'Kitchen', 'Washing machine', 'Free WiFi', 'Air conditioning', 'Private Bathroom', 'Non-smoking rooms', 'Heating', 'Elevator']","{'306227417_344791550_2_0_0': {'room_name': 'Interior Two-Bedroom Apartment', 'room_price': '€ 1,128', 'room_capacity': 'Max people: 2', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'Inner courtyard view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 2 twin beds/ 1 sofa bed/ '}, '306227417_344791550_3_0_0': {'room_name': 'Interior Two-Bedroom Apartment', 'room_price': '€ 1,279', 'room_capacity': 'Max people: 3', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'Inner courtyard view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 2 twin beds/ 1 sofa bed/ '}, '306227417_344791550_4_0_0': {'room_name': 'Interior Two-Bedroom Apartment', 'room_price': '€ 1,429', 'room_capacity': 'Max people: 4', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'Inner courtyard view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 2 twin beds/ 1 sofa bed/ '}, '306227417_344791550_5_0_0': {'room_name': 'Interior Two-Bedroom Apartment', 'room_price': '€ 1,580', 'room_capacity': 'Max people: 5', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'Inner courtyard view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 2 twin beds/ 1 sofa bed/ '}, '306227417_344791550_6_0_0': {'room_name': 'Interior Two-Bedroom Apartment', 'room_price': '€ 1,730', 'room_capacity': 'Max people: 6', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'Inner courtyard view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 2 twin beds/ 1 sofa bed/ '}, '306227416_344791550_2_0_0': {'room_name': 'Exterior Two-Bedroom Apartment', 'room_price': '€ 1,137', 'room_capacity': 'Max people: 2', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 queen bed/ 1 sofa bed/ '}, '306227416_344791550_3_0_0': {'room_name': 'Exterior Two-Bedroom Apartment', 'room_price': '€ 1,288', 'room_capacity': 'Max people: 3', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 queen bed/ 1 sofa bed/ '}, '306227416_344791550_4_0_0': {'room_name': 'Exterior Two-Bedroom Apartment', 'room_price': '€ 1,438', 'room_capacity': 'Max people: 4', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 queen bed/ 1 sofa bed/ '}, '306227416_344791550_5_0_0': {'room_name': 'Exterior Two-Bedroom Apartment', 'room_price': '€ 1,589', 'room_capacity': 'Max people: 5', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 queen bed/ 1 sofa bed/ '}, '306227416_344791550_6_0_0': {'room_name': 'Exterior Two-Bedroom Apartment', 'room_price': '€ 1,739', 'room_capacity': 'Max people: 6', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '55 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 queen bed/ 1 sofa bed/ '}, '306227407_344791550_2_0_0': {'room_name': 'Exterior One-Bedroom Apartment', 'room_price': '€ 1,185', 'room_capacity': 'Max people: 2', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '40 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 sofa bed/ '}, '306227407_344791550_3_0_0': {'room_name': 'Exterior One-Bedroom Apartment', 'room_price': '€ 1,335', 'room_capacity': 'Max people: 3', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '40 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 sofa bed/ '}, '306227407_344791550_4_0_0': {'room_name': 'Exterior One-Bedroom Apartment', 'room_price': '€ 1,486', 'room_capacity': 'Max people: 4', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available'], 'room_facilities': ['Entire apartment', '40 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 sofa bed/ '}, '306227415_344791550_6_0_0': {'room_name': 'Three-Bedroom Apartment', 'room_price': '€ 1,657', 'room_capacity': 'Max people: 6', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available', 'Only 1 left on our site'], 'room_facilities': ['Entire apartment', '100 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 queen bed/ 1 queen bed/ 2/ '}, '306227401_344791550_6_0_0': {'room_name': 'Apartment with three rooms', 'room_price': '€ 1,727', 'room_capacity': 'Max people: 6', 'room_options': ['Free cancellation until 11:59 PM on January 25, 2023', 'Pay nothing until January 23, 2023', 'discount available', 'Only 1 left on our site'], 'room_facilities': ['Entire apartment', '100 m²', 'Private kitchen', 'Private Bathroom', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 queen bed/ 1 queen bed/ 1 queen bed/ '}}",0,1,0,2022-11-15
Valencia,"27
Friday, January 27, 2023","5
Sunday, February 5, 2023",2 adults · 0 children · 2 rooms,The River Hostel,"Plaza del Temple, 6, Ciutat Vella, 46003 Valencia, Spain","39.47612635,-0.37074968",8.2,"{'': '', 'Staff': '8.7', 'Facilities': '8.3', 'Cleanliness': '8.3', 'Comfort': '8.2', 'Value for money': '8.7', 'Location': '9.2', 'Free WiFi': '8.7'}","[""You're eligible for a Genius discount at The River Hostel! To save at this property, all you have to do is sign in."", 'Centrally located next to Turia Gardens, The River Hostel is 5 minutes’ walk from Valencia Cathedral and Alameda Metro Station, which has direct airport trains. There is 24-hour reception, free Wi-Fi, free parking nearby and free luggage room.', 'Accommodations is in dormitories or private rooms, all with shared bathroom facilities which are separate for males and females. All have air conditioning and heating, while most of them have balcony. Sheets are provided free of charge. Towels can be provided upon payment of a deposit.', 'There are vending machines for drinks and guests can have breakfast in the onsite café. The hostel also has a games room and lounge and guests can make use of the shared kitchen for free.', 'You can hire a bicycle directly at reception. Transfers to the airport, train or bus stations are available for an extra charge.']",[],"{'49420209_240454743_0_2_0': {'room_name': 'Bunk Bed in 12-Bed Dormitory Room', 'room_price': '€ 132', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 11:59 PM on December 27, 2022', 'Pay nothing until December 25, 2022'], 'room_facilities': ['35 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420209_340767985_0_2_0': {'room_name': 'Bunk Bed in 12-Bed Dormitory Room', 'room_price': '€ 141', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 2:00 PM on January 27, 2023', 'Pay nothing until January 25, 2023'], 'room_facilities': ['35 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420208_240454743_0_2_0': {'room_name': 'Bunk Bed in 10-Bed Dormitory Room', 'room_price': '€ 140', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 11:59 PM on December 27, 2022', 'Pay nothing until December 25, 2022'], 'room_facilities': ['29 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420208_340767985_0_2_0': {'room_name': 'Bunk Bed in 10-Bed Dormitory Room', 'room_price': '€ 149', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 2:00 PM on January 27, 2023', 'Pay nothing until January 25, 2023'], 'room_facilities': ['29 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420207_240454743_0_2_0': {'room_name': 'Bunk Bed in 8-Bed Dormitory Room', 'room_price': '€ 148', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 11:59 PM on December 27, 2022', 'Pay nothing until December 25, 2022'], 'room_facilities': ['22 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420207_340767985_0_2_0': {'room_name': 'Bunk Bed in 8-Bed Dormitory Room', 'room_price': '€ 158', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 2:00 PM on January 27, 2023', 'Pay nothing until January 25, 2023'], 'room_facilities': ['22 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420213_240454743_0_2_0': {'room_name': 'Bunk Bed in Bed Female Dormitory Room', 'room_price': '€ 148', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 11:59 PM on December 27, 2022', 'Pay nothing until December 25, 2022'], 'room_facilities': ['28 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420213_340767985_0_2_0': {'room_name': 'Bunk Bed in Bed Female Dormitory Room', 'room_price': '€ 158', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 2:00 PM on January 27, 2023', 'Pay nothing until January 25, 2023'], 'room_facilities': ['28 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420215_240454743_0_2_0': {'room_name': 'Bunk Bed in 6-Bed Dormitory Room', 'room_price': '€ 164', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 11:59 PM on December 27, 2022', 'Pay nothing until December 25, 2022'], 'room_facilities': ['21 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '49420215_340767985_0_2_0': {'room_name': 'Bunk Bed in 6-Bed Dormitory Room', 'room_price': '€ 175', 'room_capacity': 'Max people: 1', 'room_options': ['Very good breakfast € 3.90', 'Free cancellation until 2:00 PM on January 27, 2023', 'Pay nothing until January 25, 2023'], 'room_facilities': ['21 m²', 'Private kitchen', 'Balcony', 'City view', 'Air conditioning', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}}",1,1,1,2022-11-15
